end_station_name,member_casual,end_lat,end_lng,total_trips
Lincoln Ave & Fullerton Ave,member,41.925902880563989,-87.649268703986465,10544
Lincoln Ave & Fullerton Ave,casual,41.925904715824458,-87.649260143806586,5818
Lincoln Ave & Waveland Ave,member,41.948801842563455,-87.675281163362712,3178
Seeley Ave & Roscoe St,casual,41.943371788198633,-87.679586006835535,1658
Lake Shore Dr & Diversey Pkwy,casual,41.932589673702964,-87.636428111775189,7864
Lake Shore Dr & Diversey Pkwy,member,41.932583049202364,-87.636420790553984,9549
Larrabee St & Webster Ave,member,41.921816730903323,-87.644124003633038,12524
Kimball Ave & Belmont Ave,casual,41.93936077132318,-87.711528393268779,723
Wells St & Elm St,member,41.903204387117626,-87.634331060785854,12640
Wells St & Elm St,casual,41.903198441028238,-87.634342827743183,7871
Larrabee St & Oak St,casual,41.900217962488526,-87.642965387434728,1349
Morgan St & Polk St,member,41.871744313967874,-87.651023789981764,5663
Ashland Ave & Division St,member,41.903462660111835,-87.6677445976959,10908
Federal St & Polk St,casual,41.872100943879744,-87.629530147840839,4625
Warren Park West,member,42.0017906988604,-87.688811799715111,585
Warren Park West,casual,42.001711100902178,-87.688764796533718,702
Sheridan Rd & Greenleaf Ave,casual,42.010572038212729,-87.662408458494028,1370
Clark St & Lunt Ave,member,42.009074941900927,-87.674197999062912,1245
Western Ave & Howard St,member,42.018887827409166,-87.690027041074273,422
Kedzie Ave & Foster Ave,casual,41.975675279710153,-87.7092691310145,575
2112 W Peterson Ave,member,41.991128264780833,-87.683591921253822,654
Oakley Ave & Touhy Ave,member,42.012323004048582,-87.688222506747636,247
Sheridan Rd & Columbia Ave,casual,42.004581684918726,-87.66142440887289,1251
Central St & Girard Ave,casual,42.064306533060666,-87.686154156441717,489
Central St & Girard Ave,member,42.064306194323144,-87.686154699235829,916
Central St Metra,casual,42.063620949342621,-87.698714356535191,431
Central St Metra,member,42.063624978712362,-87.698709789200421,963
Sheridan Rd & Noyes St (NU),member,42.058220806116566,-87.677422210617422,1733
Chicago Ave & Sheridan Rd,member,42.050493036512435,-87.677814703808636,1059
Benson Ave & Church St,casual,42.048196984369014,-87.68348669888762,1738
Evanston Civic Center,member,42.057032360784305,-87.686566914117634,425
Chicago Ave & Washington St,casual,42.0325092086331,-87.679090195976556,1251
Phillips Ave & 79th St,member,41.751810689655166,-87.565205879310355,58
Phillips Ave & 79th St,casual,41.751818194954133,-87.5652080825688,218
Jeffery Blvd & 71st St,casual,41.766772968545673,-87.576482390110769,498
Damen Ave & 59th St,casual,41.786019548872183,-87.6741677443609,133
Indiana Ave & Roosevelt Rd,casual,41.867901385683439,-87.623034444188562,12808
Calumet Ave & 71st St,casual,41.7655694831651,-87.616859420179054,121
LaSalle St & Jackson Blvd,member,41.878248526224013,-87.631911103617441,7169
Lake Shore Dr & North Blvd,casual,41.911690601357755,-87.626794967588836,13699
Ellis Ave & 58th St,member,41.788737163117339,-87.601316857215281,3287
Ogden Ave & Race Ave,member,41.891795199392455,-87.658765313290729,5322
Shedd Aquarium,casual,41.8672098355858,-87.61535279076179,7656
LaSalle St & Illinois St,casual,41.890773888375257,-87.631693461377182,6598
Rush St & Hubbard St,casual,41.890177452808835,-87.62620373369279,2504
Blackstone Ave & Hyde Park Blvd,member,41.802596563269731,-87.590394012450929,2463
Damen Ave & Cullerton St,member,41.8550191206502,-87.6757758092604,1469
Michigan Ave & Pearson St,casual,41.897628541384158,-87.6235395554639,5457
Racine Ave & Congress Pkwy,casual,41.874635321875,-87.657026432291687,480
Racine Ave & Congress Pkwy,member,41.874622198871045,-87.657016167824565,2303
Western Ave & Fillmore St,casual,41.868592771780307,-87.686193503787877,528
Racine Ave & 18th St,casual,41.858185473961569,-87.656483805331675,1613
Racine Ave & 18th St,member,41.858188353462154,-87.656487538957023,2691
Wood St & Taylor St,casual,41.869161264967147,-87.6713936937799,386
Wood St & Taylor St (Temp),member,41.869283372189777,-87.673780524828146,1210
Dearborn Pkwy & Delaware Pl,casual,41.898951148272019,-87.629906956133951,6877
Morgan Ave & 14th Pl,member,41.862383990805093,-87.651083102157529,2302
Lake Shore Dr & Monroe St,member,41.880968293331058,-87.616746454656436,8737
Wabash Ave & Adams St,casual,41.879473589295038,-87.625707572873111,3892
Sheffield Ave & Fullerton Ave,casual,41.925612061417581,-87.653707860824,2567
Clinton St & 18th St,member,41.85796296915484,-87.640833645383509,1621
Burnham Harbor,member,41.856243133512258,-87.613326124402064,9129
Desplaines St & Jackson Blvd,member,41.878302405148531,-87.643902841305831,7944
State St & Harrison St,member,41.874073622833322,-87.627704136222249,3000
Green St & Madison St,member,41.881889760192671,-87.648766896281316,11626
Paulina St & 18th St,casual,41.857884902120318,-87.668714408407311,1352
Kingsbury St & Kinzie St,member,41.889203531557094,-87.6384966911508,16454
Aberdeen St & Monroe St,member,41.880415230904752,-87.655508294639489,5298
Lake Shore Dr & Belmont Ave,member,41.940771201170683,-87.639195156500321,9738
Damen Ave & Wellington Ave,casual,41.935885155824671,-87.678413435870809,1445
Indiana Ave & 26th St,casual,41.845681728555306,-87.622472455981949,886
Delano Ct & Roosevelt Rd,member,41.867494980938929,-87.632192232497943,2833
Racine Ave & Washington Blvd,member,41.883078680462653,-87.65693993812711,1196
Loomis St & Lexington St,member,41.872189734883449,-87.661498524573048,8451
Paulina St & Flournoy St,member,41.873006464771734,-87.669102209101553,4556
Franklin St & Adams St (Temp),member,41.879441475772474,-87.6354736461191,3226
Blue Island Ave & 18th St,casual,41.857569142520219,-87.661496646675658,1484
Blue Island Ave & 18th St,member,41.857559926293149,-87.661522024394074,3177
Lake Shore Dr & North Blvd,member,41.911728941409805,-87.626818385251681,12815
Throop (Loomis) St & Taylor St,casual,41.868961346531613,-87.659129633977912,1086
Western Ave & Congress Pkwy,casual,41.874732877145291,-87.686376801246709,941
Canal St & Harrison St,member,41.8742745402588,-87.639584992451461,1391
Financial Pl & Ida B Wells Dr,member,41.875022872016032,-87.633096046298178,3686
Wolcott Ave & Polk St,casual,41.871270971678889,-87.673688533414847,818
Dearborn St & Adams St,member,41.8793850464353,-87.629802893658123,4603
Ada St & Washington Blvd,member,41.88282722520416,-87.6611874663326,4490
Aberdeen St & Randolph St,member,41.8841160093589,-87.654264813172688,4274
Franklin St & Jackson Blvd,member,41.877732321430265,-87.6353036265121,7386
Green St & Randolph St,member,41.883691548103158,-87.648665525222853,7328
900 W Harrison St,member,41.874769607037514,-87.649804655920761,3164
Lincoln Ave & Belmont Ave,casual,41.939361405982915,-87.6683680905728,2613
Aberdeen St & Jackson Blvd,casual,41.87772922336719,-87.654790520443228,2166
