start_station_name,member_casual,start_lat,start_lng,total_trips
Pulaski Rd & Lake St,member,41.885388786919826,-87.72656973839662,79
Jeffery Blvd & 67th St,casual,41.773516639498169,-87.577169685458571,680
Broadway & Thorndale Ave,casual,41.989740473613153,-87.660134202140725,2319
Columbus Dr & Randolph St,casual,41.884701997101452,-87.619519449971776,8855
Clark St & Winnemac Ave,member,41.973324975608328,-87.668017244750857,5592
Racine Ave & 18th St,member,41.858182057387708,-87.656492416312062,2820
Leavitt St & Belmont Ave,member,41.93934810213144,-87.6832777436353,1126
Central Park Ave & North Ave,casual,41.909660474085314,-87.716630343230364,553
Wood St & Milwaukee Ave,casual,41.9076576198374,-87.672553523130091,4100
Broadway & Granville Ave,casual,41.994781651166264,-87.660283319124716,3229
Mies van der Rohe Way & Chestnut St,casual,41.898582675657181,-87.621970922314233,5470
Dearborn Pkwy & Delaware Pl,casual,41.898966197281958,-87.629906024240185,6745
Desplaines St & Randolph St,member,41.884606068201776,-87.644572679235409,5491
Clark St & Lincoln Ave,casual,41.915695773860513,-87.634602802099678,9573
Michigan Ave & Madison St,casual,41.882114464495139,-87.625123689985344,3638
Canal St & Taylor St,member,41.870263567629443,-87.63948257144537,2839
Ravenswood Ave & Lawrence Ave,member,41.96909599955837,-87.674223255459069,6793
Green St & Randolph St,member,41.883660934082776,-87.64865322217193,6627
Big Marsh Park,casual,41.68588034127081,-87.573765418030945,70
Franklin St & Chicago Ave,member,41.896738784931465,-87.635691385611977,7704
Lakefront Trail & Bryn Mawr Ave,casual,41.9840331114005,-87.652310820462816,6488
Lakefront Trail & Bryn Mawr Ave,member,41.984032611344482,-87.652310368333985,8974
Wells St & Polk St,casual,41.872578282672535,-87.633536524718536,3405
Franklin St & Lake St,member,41.885823441689247,-87.635490602868117,7380
Damen Ave & Thomas St (Augusta Blvd),casual,41.901320687204652,-87.677419646673926,1834
Racine Ave & 18th St,casual,41.858177644062074,-87.656488791273063,1482
Shore Dr & 55th St,casual,41.795211901338845,-87.580725441245733,5801
Dearborn St & Monroe St,member,41.881267008901865,-87.629542986564289,10035
Kingsbury St & Erie St,casual,41.8938180342782,-87.6417113345188,4059
Stockton Dr & Wrightwood Ave,casual,41.931317972461365,-87.638731886145081,6621
Orleans St & Elm St,casual,41.902917181410245,-87.637715029230776,1300
Orleans St & Elm St,member,41.9029142262972,-87.637711877139367,2454
Kedzie Ave & Chicago Ave,member,41.895479108216868,-87.706127416914,759
Dearborn St & Erie St,member,41.894013042049508,-87.6293086275937,15454
Dearborn St & Erie St,casual,41.894012656591819,-87.6293129168928,8106
Sheridan Rd & Irving Park Rd,casual,41.954239554900276,-87.654408275939772,3476
LaSalle Dr & Huron St,member,41.894857353066435,-87.6323125257808,5870
Pine Grove Ave & Waveland Ave,member,41.949506196539879,-87.6463519415467,10398
Aberdeen St & Jackson Blvd,casual,41.877723976786847,-87.654796147314116,2219
Greenview Ave & Jarvis Ave,member,42.015975561311009,-87.668585081265519,1612
Lake Shore Dr & Belmont Ave,member,41.940774998610117,-87.639192516781634,9713
Ravenswood Ave & Irving Park Rd,casual,41.954680001557627,-87.673917658453689,1177
Field Blvd & South Water St,member,41.886309835632794,-87.617508134680364,5035
Field Blvd & South Water St,casual,41.88631133774804,-87.617511547052658,3937
California Ave & Altgeld St,casual,41.9266865919388,-87.697684400706081,1133
California Ave & Altgeld St,member,41.926685400481276,-87.697693548983082,2147
Aberdeen St & Jackson Blvd,member,41.877720203699418,-87.654795436914341,6474
Sedgwick St & Webster Ave,member,41.922176080540773,-87.638897706721352,6953
Clark St & Wellington Ave,casual,41.936498570892383,-87.647540762044628,5084
Theater on the Lake,casual,41.926275554681695,-87.630843332335743,14368
Orleans St & Merchandise Mart Plaza,member,41.888200306503336,-87.636450692256716,7796
Emerald Ave & 31st St,member,41.838200452762223,-87.645130101948226,2498
Indiana Ave & Roosevelt Rd,member,41.867897028741311,-87.623028727316182,11157
McClurg Ct & Erie St,member,41.894513838373562,-87.617931312607013,10317
Daley Center Plaza,casual,41.884206823356124,-87.629616219302378,4243
Ellis Ave & 55th St,casual,41.794298236326831,-87.601453125260193,1316
Larrabee St & Menomonee St,casual,41.914685373493974,-87.643320763453843,1245
Wells St & Huron St,member,41.89472858602705,-87.63438047791152,14540
Logan Blvd & Elston Ave,member,41.929470907848334,-87.6841706814925,3024
Logan Blvd & Elston Ave,casual,41.929466838048242,-87.6841672571272,1520
Sheffield Ave & Waveland Ave,casual,41.949381893123423,-87.654517897768955,5812
Adler Planetarium,member,41.866097803403576,-87.60727382679633,6170
Sheridan Rd & Irving Park Rd,member,41.954231043836316,-87.654406144806842,7144
Cityfront Plaza Dr & Pioneer Ct,member,41.890568977849284,-87.622072965835343,6215
Larrabee St & Division St,member,41.903493530247573,-87.643363462169177,6366
Prospect Sq & 91st St,casual,41.728134449444433,-87.667562085833339,120
Milwaukee Ave & Cuyler Ave,member,41.954479202582732,-87.749598171509291,413
Paulina St & Montrose Ave,member,41.961504376946166,-87.671395708497471,1777
Paulina St & Montrose Ave,casual,41.961504994746377,-87.671396420652172,920
Sheffield Ave & Willow St,casual,41.913698087708674,-87.652856498990317,2476
Clinton St & Lake St,casual,41.885606930583279,-87.641829129130628,3006
Shedd Aquarium,casual,41.867225313533289,-87.61536105686757,9406
Broadway & Barry Ave,member,41.9376152016903,-87.6440975368111,15375
Cornell Ave & Hyde Park Blvd,member,41.802410971955538,-87.586904912245231,3958
Talman Ave & Addison St,casual,41.946627613998785,-87.6946142808284,709
Winthrop Ave & Lawrence Ave,casual,41.968816472814026,-87.6576587544385,1502
Halsted St & Maxwell St,casual,41.864880636584324,-87.647078180282875,1579
Halsted St & Maxwell St,member,41.864885497698879,-87.647082530845935,3042
Morgan Ave & 14th Pl,member,41.8623857918096,-87.651077796812459,2332
Morgan Ave & 14th Pl,casual,41.862384349441591,-87.651075699742265,776
Sedgwick St & North Ave,member,41.911386422818623,-87.638684510566364,7098
Sheffield Ave & Wrightwood Ave,member,41.928706078406165,-87.653823580715027,7002
Greenview Ave & Diversey Pkwy,casual,41.932596204982566,-87.665938400977211,1615
Bernard St & Elston Ave,casual,41.949924658602143,-87.713947779569892,248
Chicago Ave & Dempster St,member,42.041690143426834,-87.680683126512648,1212
Smith Park,casual,41.892042519458556,-87.689395488578668,394
Stetson Ave & South Water St,casual,41.886795167265824,-87.622292671559833,3338
Dearborn St & Van Buren St,casual,41.87626709361097,-87.629201351397043,1873
Dearborn St & Van Buren St,member,41.876277140562969,-87.6291947689763,2771
Clifton Ave & Armitage Ave,casual,41.918212839084966,-87.656945947712416,2550
Orleans St & Chestnut St (NEXT Apts),casual,41.898182715588085,-87.637533175590661,2596
Michigan Ave & Washington St,member,41.883984820328216,-87.624651728229622,8148
Wells St & Huron St,casual,41.894732513273574,-87.634374973815611,7810
Jefferson St & Monroe St,member,41.880406914979112,-87.642726846062374,5185
Ashland Ave & Chicago Ave,member,41.8959748730674,-87.667736301677508,4312
Lakefront Trail & Wilson Ave,member,41.965840989161094,-87.645370527319955,4490
Western Ave & Walton St,member,41.898413459858332,-87.6865961821036,3944
State St & Kinzie St,member,41.88919610357582,-87.627766814549929,8110
Dusable Harbor,casual,41.8869757382809,-87.612811810820361,7566
Woodlawn Ave & Lake Park Ave,casual,41.814091328064606,-87.597007066005332,964
Green St & Madison St,member,41.881887058171728,-87.648795363639337,10108
Franklin St & Illinois St,casual,41.89101986228733,-87.6354694740592,3458
Desplaines St & Kinzie St,casual,41.888691227339393,-87.644429191440651,6493
Clinton St & Tilden St,member,41.875889681538681,-87.640790724653229,2331
Larrabee St & Webster Ave,casual,41.921818711464788,-87.644124272971411,7571
Indiana Ave & 31st St,member,41.838825007760143,-87.621868065167547,1890
Larrabee St & Armitage Ave,member,41.918090206772057,-87.6437380693794,5124
Canal St & Adams St,casual,41.879301668821242,-87.639930136363631,2398
Sheffield Ave & Kingsbury St,member,41.910526991943144,-87.653111624352007,7716
Wood St & Taylor St,member,41.86918213552795,-87.671357843680809,3463
Wood St & Taylor St,casual,41.8691787762794,-87.671544716113431,482
State St & 79th St,casual,41.750795182539676,-87.624425077380963,168
Pine Grove Ave & Waveland Ave,casual,41.949539834414061,-87.646349620833377,6383
Clark St & Wrightwood Ave,member,41.929541292861323,-87.643118547309527,10847
California Ave & Francis Pl (Temp),member,41.918504885118615,-87.697427008445388,2072
Lake Shore Dr & Ohio St,member,41.892570681217528,-87.614493105840509,6609
Lake Shore Dr & Ohio St,casual,41.892569134195327,-87.614490902953278,6806
Clark St & 9th St (AMLI),member,41.870810286413843,-87.6312224087234,2927
Damen Ave & Cortland St,member,41.915987999841938,-87.677323397888216,5272
Halsted St & Wrightwood Ave,member,41.929136388328466,-87.649089470622073,7534
MLK Jr Dr & 47th St,casual,41.80985556666667,-87.616283385360376,740
